clip_id,generator,source_url,difficulty
real_driving_car_UXLLg2SGJPs,real,https://www.youtube.com/watch?v=UXLLg2SGJPs,
sora_television_gallery,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
real_walking_the_dog__3XAZZnZLlc,real,https://www.youtube.com/watch?v=3XAZZnZLlc,
veo_blooming_flower,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_petting_cat_v4FPCXxS4OU,real,https://www.youtube.com/watch?v=v4FPCXxS4OU,
veo_film_noir_reading,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_flying_kite_8IRYUWc1dn0,real,https://www.youtube.com/watch?v=8IRYUWc1dn0,
veo_northern_lights,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_walking_the_dog_M2hwM3c0ATM,real,https://www.youtube.com/watch?v=M2hwM3c0ATM,
kling_alien_flying_car,kling,https://www.youtube.com/watch?v=s5j_m68SC4U,
kling_girl_on_flying_bird,kling,https://www.youtube.com/watch?v=s5j_m68SC4U,
real_paragliding_-errNPiGXF4,real,https://www.youtube.com/watch?v=-errNPiGXF4,
kling_soldier_in_war,kling,"https://x.com (community, @KlingAI tagged)",
real_scuba_diving_Yk7myKR2j8Q,real,https://www.youtube.com/watch?v=Yk7myKR2j8Q,
real_petting_cat_uhVjg7-2wLs,real,https://www.youtube.com/watch?v=uhVjg7-2wLs,
veo_cat_on_skateboard,veo,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,
sora_fairytale_furball,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
real_surfing_water_MM-HW0kdYy0,real,https://www.youtube.com/watch?v=MM-HW0kdYy0,
real_paragliding_dotHeimLBCM,real,https://www.youtube.com/watch?v=dotHeimLBCM,
sora_the_offroader,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
kling_halo_soldiers_discovery,kling,"https://x.com (community, @KlingAI tagged)",
kling_monster_alien_jungle,kling,"https://x.com (community, @KlingAI tagged)",
sora_chinese_new_year,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
real_petting_cat_qvuM5tRdJ4o,real,https://www.youtube.com/watch?v=qvuM5tRdJ4o,
veo_silhouette_walking_into_light,veo,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,
real_paragliding_QbCaxcsWm2U,real,https://www.youtube.com/watch?v=QbCaxcsWm2U,
sora_eye_closeup,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
real_walking_the_dog_ElcE4QXDn5Q,real,https://www.youtube.com/watch?v=ElcE4QXDn5Q,
sora_lagos,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
veo_night_cityscape,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_paragliding_9Ft1vCRFsbI,real,https://www.youtube.com/watch?v=9Ft1vCRFsbI,
veo_hot_air_balloon,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_walking_the_dog_PUsfPD6SNE0,real,https://www.youtube.com/watch?v=PUsfPD6SNE0,
veo_leopard_in_snow,veo,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,
real_motorcycling_H--Ww0gGDWU,real,https://www.youtube.com/watch?v=H--Ww0gGDWU,
real_feeding_birds_IZmQ1ndVmyc,real,https://www.youtube.com/watch?v=IZmQ1ndVmyc,
real_tai_chi_mgiM72pnseY,real,https://www.youtube.com/watch?v=mgiM72pnseY,
real_sailing_51BxyRNgLZM,real,https://www.youtube.com/watch?v=51BxyRNgLZM,
veo_lost_waterfall,veo,https://www.youtube.com/watch?v=1L5OCzHuwCA,
real_flying_kite_POqqwxdK2f8,real,https://www.youtube.com/watch?v=POqqwxdK2f8,
kling_vampire_dentist,kling,"https://x.com (community, @KlingAI tagged)",
kling_woman_coal_chamber,kling,https://www.youtube.com/watch?v=s5j_m68SC4U,
real_surfing_water_p7Z0VAa5O_Y,real,https://www.youtube.com/watch?v=Y,
real_motorcycling_Kuqn4KfEFgM,real,https://www.youtube.com/watch?v=Kuqn4KfEFgM,
real_flying_kite_0yNXOIqJLtA,real,https://www.youtube.com/watch?v=0yNXOIqJLtA,
real_scuba_diving_KViUY2HPXJI,real,https://www.youtube.com/watch?v=KViUY2HPXJI,
real_sailing_wZ46N9NSVGc,real,https://www.youtube.com/watch?v=wZ46N9NSVGc,
sora_lost_lone_wolf,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
real_walking_the_dog_q7SprFkmpPU,real,https://www.youtube.com/watch?v=q7SprFkmpPU,
real_petting_cat_s1j82uqbpZo,real,https://www.youtube.com/watch?v=s1j82uqbpZo,
real_paragliding_jdpy9ToCszY,real,https://www.youtube.com/watch?v=jdpy9ToCszY,
real_feeding_birds_sFobl5_CbJk,real,https://www.youtube.com/watch?v=CbJk,
kling_girl_animals_fantasy_land,kling,https://www.youtube.com/watch?v=s5j_m68SC4U,
kling_parasitical_creature,kling,"https://x.com (community, @KlingAI tagged)",
real_jogging_kBUt5duOHFU,real,https://www.youtube.com/watch?v=kBUt5duOHFU,
real_skateboarding_pk8dy4NIzBU,real,https://www.youtube.com/watch?v=pk8dy4NIzBU,
sora_paper_origami,sora,https://www.youtube.com/watch?v=HK6y8DAPN_0,
veo_colorful_dog,veo,https://www.youtube.com/watch?v=KIRh5ZnWZ5o,
kling_cat_as_king,kling,https://www.youtube.com/watch?v=s5j_m68SC4U,
real_flying_kite_SEJm27wdQyE,real,https://www.youtube.com/watch?v=SEJm27wdQyE,
