clip_id,generator,label,source_url
real_driving_car_UXLLg2SGJPs,real,real,https://www.youtube.com/watch?v=UXLLg2SGJPs
sora_television_gallery,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
real_walking_the_dog__3XAZZnZLlc,real,real,https://www.youtube.com/watch?v=3XAZZnZLlc
veo_blooming_flower,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_petting_cat_v4FPCXxS4OU,real,real,https://www.youtube.com/watch?v=v4FPCXxS4OU
veo_film_noir_reading,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_flying_kite_8IRYUWc1dn0,real,real,https://www.youtube.com/watch?v=8IRYUWc1dn0
veo_northern_lights,veo,fake,https://www.youtube.com/watch?v=1L5OCzHuwCA
real_walking_the_dog_M2hwM3c0ATM,real,real,https://www.youtube.com/watch?v=M2hwM3c0ATM
kling_alien_flying_car,kling,fake,https://www.youtube.com/watch?v=s5j_m68SC4U
kling_girl_on_flying_bird,kling,fake,https://www.youtube.com/watch?v=s5j_m68SC4U
real_paragliding_-errNPiGXF4,real,real,https://www.youtube.com/watch?v=-errNPiGXF4
kling_soldier_in_war,kling,fake,"https://x.com (community, @KlingAI tagged)"
real_scuba_diving_Yk7myKR2j8Q,real,real,https://www.youtube.com/watch?v=Yk7myKR2j8Q
real_petting_cat_uhVjg7-2wLs,real,real,https://www.youtube.com/watch?v=uhVjg7-2wLs
veo_cat_on_skateboard,veo,fake,https://www.youtube.com/watch?v=KIRh5ZnWZ5o
sora_fairytale_furball,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
real_surfing_water_MM-HW0kdYy0,real,real,https://www.youtube.com/watch?v=MM-HW0kdYy0
real_paragliding_dotHeimLBCM,real,real,https://www.youtube.com/watch?v=dotHeimLBCM
sora_the_offroader,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
kling_halo_soldiers_discovery,kling,fake,"https://x.com (community, @KlingAI tagged)"
kling_monster_alien_jungle,kling,fake,"https://x.com (community, @KlingAI tagged)"
sora_chinese_new_year,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
real_petting_cat_qvuM5tRdJ4o,real,real,https://www.youtube.com/watch?v=qvuM5tRdJ4o
veo_silhouette_walking_into_light,veo,fake,https://www.youtube.com/watch?v=KIRh5ZnWZ5o
real_paragliding_QbCaxcsWm2U,real,real,https://www.youtube.com/watch?v=QbCaxcsWm2U
sora_eye_closeup,sora,fake,https://www.youtube.com/watch?v=HK6y8DAPN_0
real_walking_the_dog_ElcE4QXDn5Q,real,real,https://www.youtube.com/watch?v=ElcE4QXDn5Q
