clip_id,label,generator,scene_type,motion_level,has_faces,resolution,duration_sec,source_url,collection_date,split,difficulty
sora_amalfi_coast_aerial,fake,sora,landscape,low,false,1280x720,21.37,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_art_museum,fake,sora,object,low,false,1280x720,22.3,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,test,
sora_big_sur,fake,sora,landscape,low,false,1280x720,10.27,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_blossoming_flower,fake,sora,object,high,false,1280x720,9.3,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,val,
sora_candle_monster,fake,sora,mixed,low,false,1280x720,11.1,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,val,
sora_chinese_new_year,fake,sora,urban,high,true,1280x720,10.3,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_cloud_reader,fake,sora,face,low,true,1280x720,21.03,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_coffee_pirates,fake,sora,landscape,high,false,1280x720,15.63,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,test,
sora_cyberpunk_robot,fake,sora,mixed,high,true,1280x720,20.6,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,test,
sora_dalmatian_in_window,fake,sora,urban,high,false,1280x720,13.73,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_dancing_kangaroo,fake,sora,mixed,high,false,1280x720,10.93,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_eye_closeup,fake,sora,face,low,true,1280x720,16.8,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_fairytale_furball,fake,sora,mixed,high,false,1280x720,9.4,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_flock_paper_planes,fake,sora,landscape,high,false,1280x720,22.77,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_gold_rush_aerial,fake,sora,mixed,high,false,1280x720,25.1,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_lagos,fake,sora,mixed,high,true,1280x720,21.03,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_lost_lone_wolf,fake,sora,landscape,high,false,1280x720,15.77,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_miniature_construction,fake,sora,urban,high,false,1280x720,10.53,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_movie_trailer_astronaut,fake,sora,mixed,high,true,1280x720,18.2,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_nosy_cat,fake,sora,mixed,low,true,1280x720,9.07,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
sora_paper_origami,fake,sora,landscape,high,true,1280x720,20.57,https://www.youtube.com/watch?v=HK6y8DAPN_0,2026-06-04,train,
